X,Y,Z
-5.922337976755433e-07,-0.0001586760539533,-4.648682359041045e-05
-3.620287936262357e-05,-0.0013326792026258,-0.0004539222624575
-0.0003165100539635,-0.0052831546618265,-0.0022021883130333
-0.001440462729175,-0.01321976361473,-0.0071941644036209
-0.0044553732241845,-0.0232724102616603,-0.0180664319549438
-0.0106171128045007,-0.0292553927195773,-0.0376100772082988
-0.020972997409327,-0.0216859637611896,-0.0680469536599476
-0.0359113157991183,0.0099725656471403,-0.1103597249495286
-0.0544525683779437,0.0748977227803938,-0.1639391252660767
-0.0731130166243118,0.1784879440184679,-0.2269503747438237
-0.0853566907306256,0.3201432284511872,-0.2973623345187376
-0.0828420254272987,0.4922940004512043,-0.3735465902604689
-0.0579391616979564,0.6813459545764498,-0.4535609709518963
-0.0063067080671068,0.8701327055288002,-0.5340000416887178
0.0712129844157179,1.0413633616217408,-0.6098745609188764
0.1681578257071673,1.1812051848010967,-0.6756816087271532
0.2737024905138391,1.2816248046304557,-0.7268215134021381
0.3748533415847011,1.3409040609434424,-0.7605586104226991
0.4587818091169568,1.3627916065967394,-0.7761933165366359
0.5148608163870598,1.3549595100848408,-0.7746797224562935
0.5359938206589598,1.3272817887744308,-0.7582238802038694
0.5190678306481679,1.290245252741648,-0.7301300011839891
0.4650062838194054,1.2535321100312369,-0.6947368135431727
0.3787052303340264,1.2248143492668913,-0.6571785819217768
0.2683107168250682,1.209064776368391,-0.6227153810829026
0.1437673295356553,1.2085495643237087,-0.5956098198665639
0.0154586230450487,1.2232377026552483,-0.5781253316574706
-0.1067815306079928,1.251320990065094,-0.5702787497661186
-0.2145950768451295,1.289750216742561,-0.5702414728182483
-0.3018856463931497,1.3347700234912303,-0.574928924066199
-0.3652022841208923,1.382417992384791,-0.5806211356593813
-0.4037135741304653,1.428951900471806,-0.583608082915182
-0.4188874086990523,1.47118024149648,-0.5807636460832979
-0.4139838782971778,1.5066833645998203,-0.5699515734716054
-0.3934568441286172,1.5339242875142736,-0.5502289997658965
