normalized_x,normalized_y,normalized_z,window_label,Augmentation,Object
1.618548423704742e-05,-3.138653780537869e-05,-1.8520550329603587e-06,1,original,Pencil_Sharpener
0.0001390015770793,-0.000306468016173,-1.8491923336487743e-05,1,original,Pencil_Sharpener
0.0005900078724667,-0.0014833341993479,-9.139701844519038e-05,1,original,Pencil_Sharpener
0.0017023745163319,-0.0048276839337612,-0.0003030657073594,1,original,Pencil_Sharpener
0.0038614354985171,-0.0120748157892224,-0.0007700039225961,1,original,Pencil_Sharpener
0.0074714424234114,-0.0250573205155228,-0.0016179859441975,1,original,Pencil_Sharpener
0.0129362213934629,-0.0452835728482238,-0.0029522872925645,1,original,Pencil_Sharpener
0.0206455471525283,-0.0735897945132019,-0.0048332803955382,1,original,Pencil_Sharpener
0.0309407239941552,-0.1099399877679982,-0.0072623001429024,1,original,Pencil_Sharpener
0.0439963675007461,-0.1534116798831034,-0.0101788697254462,1,original,Pencil_Sharpener
0.0596647887493794,-0.2023340112687293,-0.0134679345756499,1,original,Pencil_Sharpener
0.0774188148558716,-0.254513063954591,-0.0169744053376057,1,original,Pencil_Sharpener
0.0964269461754357,-0.3075018078990396,-0.0205218002813019,1,original,Pencil_Sharpener
0.1156750438156968,-0.3588685989362264,-0.0239318681091608,1,original,Pencil_Sharpener
0.134063266008139,-0.4064061746995048,-0.0270425566421303,1,original,Pencil_Sharpener
0.1504719098988412,-0.4482633465323986,-0.0297223959795053,1,original,Pencil_Sharpener
0.16384468032681,-0.483033815987801,-0.0318801445077066,1,original,Pencil_Sharpener
0.1733470395529859,-0.5098315303127664,-0.0334692946254961,1,original,Pencil_Sharpener
0.1785620503291159,-0.5283364033078685,-0.0344876770112873,1,original,Pencil_Sharpener
0.1796098114778174,-0.5387828514063374,-0.0349755592737302,1,original,Pencil_Sharpener
0.1771288612318146,-0.5418933610927142,-0.0350185797910094,1,original,Pencil_Sharpener
0.1721382311029435,-0.5387723741682631,-0.0347473091740536,1,original,Pencil_Sharpener
0.1658057389646408,-0.5307667612565222,-0.0343117804297806,1,original,Pencil_Sharpener
0.1591435560307109,-0.5193126215027657,-0.0338422147920973,1,original,Pencil_Sharpener
0.1527407832925846,-0.5058152753535968,-0.0334337526893314,1,original,Pencil_Sharpener
0.1467089530113121,-0.4915865358189777,-0.0331505315315248,1,original,Pencil_Sharpener
0.1409027452412749,-0.4778104854120122,-0.0330181792435161,1,original,Pencil_Sharpener
0.1352474725579027,-0.4655067011694003,-0.033019316158547,1,original,Pencil_Sharpener
0.1298915564873184,-0.4554894501570856,-0.0331269467017148,1,original,Pencil_Sharpener
0.1251140894969222,-0.4483286507473555,-0.033356691020358,1,original,Pencil_Sharpener
0.1211926780018027,-0.4443152106808982,-0.0337834568606716,1,original,Pencil_Sharpener
0.1183662422330142,-0.443439154227473,-0.0345128997403646,1,original,Pencil_Sharpener
0.1168167058482417,-0.4453972583070643,-0.0356475779011611,1,original,Pencil_Sharpener
0.1165995622567493,-0.4496415962726302,-0.0372715937813544,1,original,Pencil_Sharpener
0.1175820247024812,-0.4554629981400351,-0.0394399512237064,1,original,Pencil_Sharpener
0.1194840964044174,-0.4620948679985421,-0.0421542980866447,1,original,Pencil_Sharpener
0.1220225787276756,-0.4688221460121199,-0.0453277427463558,1,original,Pencil_Sharpener
0.125050705647269,-0.4750731652821774,-0.0487685821402508,1,original,Pencil_Sharpener
0.1285916495198191,-0.4804649619364508,-0.0522159418665392,1,original,Pencil_Sharpener
0.1327527813603117,-0.4847842585018243,-0.0554076739755296,1,original,Pencil_Sharpener
0.1375937016960684,-0.4879214377043047,-0.0581168527971958,1,original,Pencil_Sharpener
0.1430155009108669,-0.4898099337081409,-0.0601474249871318,1,original,Pencil_Sharpener
0.1486677327932667,-0.4904239205183215,-0.0613423837023919,1,original,Pencil_Sharpener
0.1539133902713684,-0.4898316990698852,-0.0616165477614981,1,original,Pencil_Sharpener
0.1579440973109157,-0.4882306226458329,-0.0609704729389171,1,original,Pencil_Sharpener
0.1599758877148559,-0.4859054311547309,-0.0594697875768682,1,original,Pencil_Sharpener
0.1593390619653734,-0.4831529988534679,-0.0572236155479311,1,original,Pencil_Sharpener
0.1554669215745979,-0.480246814046513,-0.0543779599797012,1,original,Pencil_Sharpener
0.1479600874544814,-0.4774369928134565,-0.0511013013889605,1,original,Pencil_Sharpener
0.1367732375010411,-0.4749433639344249,-0.0475648481398888,1,original,Pencil_Sharpener
0.122390273177338,-0.4729409933425438,-0.0439450369013738,1,original,Pencil_Sharpener
0.1058339506013438,-0.4715519666822169,-0.0404381424844578,1,original,Pencil_Sharpener
0.0884826263760591,-0.4708324583767913,-0.0372541133803603,1,original,Pencil_Sharpener
0.0718341471201067,-0.470751031188296,-0.0345967124984482,1,original,Pencil_Sharpener
0.0573189521856964,-0.4711814283215294,-0.0326616187529197,1,original,Pencil_Sharpener
0.0461259069370242,-0.4719339474699551,-0.0316402004106351,1,original,Pencil_Sharpener
0.0390572651757527,-0.4728136748584992,-0.0316930403011159,1,original,Pencil_Sharpener
