normalized_x,normalized_y,normalized_z,window_label,Augmentation,Object
6.806610659906282e-06,-1.4611977491809376e-05,1.7189576750099082e-06,1,original,Staple
9.45076787081813e-05,-0.0001458939193297,2.0920662652296255e-05,1,original,Staple
0.0005677732666846,-0.0007243030798036,0.0001185896191834,1,original,Staple
0.002085914845826,-0.0024231877577571,0.0004404769323655,1,original,Staple
0.0054833807321755,-0.0062273444407074,0.0012491649655095,1,original,Staple
0.0113516805204506,-0.0132274412016657,0.0029303585873234,1,original,Staple
0.0197616337323393,-0.0243155541810079,0.0059419253356915,1,original,Staple
0.0303150710827357,-0.0399223386665671,0.0107176614241491,1,original,Staple
0.0424150190334882,-0.0599084973937471,0.0175763125814732,1,original,Staple
0.0555105831410848,-0.0836113395408051,0.0266425939992468,1,original,Staple
0.0690698779562046,-0.1099845646420667,0.0377888327059405,1,original,Staple
0.0823096458003672,-0.1377674461343575,0.0506452591687203,1,original,Staple
0.0940653433307933,-0.1656026281499013,0.0646775259519957,1,original,Staple
0.1030930811050267,-0.1920724413823321,0.0792760575200641,1,original,Staple
0.1086026780517965,-0.2157560870794042,0.0938253615838369,1,original,Staple
0.1105641361594622,-0.2353979892667652,0.1077541843803656,1,original,Staple
0.1095874650800728,-0.2501075420812627,0.1205720768270956,1,original,Staple
0.1065716784475636,-0.2594645582795782,0.1318946911373775,1,original,Staple
0.1024516959826787,-0.2635178786802105,0.141458623366012,1,original,Staple
0.0981596462326802,-0.2627198991665267,0.1491262325811102,1,original,Staple
0.0946125199281046,-0.2578149193560961,0.1548811136551183,1,original,Staple
0.0925578532549835,-0.2497097575968881,0.1588154153544484,1,original,Staple
0.0923761096511483,-0.2393801009445662,0.1611069700101983,1,original,Staple
0.0940017180551663,-0.227836357618086,0.1619771383470472,1,original,Staple
0.096989262730584,-0.2161093536930959,0.1616299492265195,1,original,Staple
0.1006829772996469,-0.2051964105181686,0.1602015695177271,1,original,Staple
0.1044369437720844,-0.1959667964720562,0.1577515320263471,1,original,Staple
0.1078095634963496,-0.1890777609252528,0.1542936950341915,1,original,Staple
0.1106733931386543,-0.1849258574148173,0.1498422115075904,1,original,Staple
0.1132217202836236,-0.183627482110577,0.144455677181175,1,original,Staple
0.1158540851660337,-0.1850373369193347,0.1382769320852153,1,original,Staple
0.118959517184479,-0.188807097040263,0.1315563341587282,1,original,Staple
